booking_id,e_id,customer_id,num_tickets,price,booking_date,booking_time,booking_label
1,1809,764,3,150,2017-03-21,05:03:00,YES
2,1140,436,7,245,2017-02-24,22:55:00,YES
3,1906,280,6,270,2017-02-23,06:16:00,YES
4,536,598,7,245,2017-02-06,03:28:00,YES
5,698,501,7,245,2017-02-22,12:26:00,YES
6,1086,674,8,280,2017-04-10,16:39:00,YES
7,1856,719,8,320,2017-03-31,20:17:00,YES
8,1699,459,4,140,2017-06-24,10:02:00,YES
9,979,686,3,135,2017-04-19,16:05:00,YES
10,697,811,6,240,2017-07-30,22:34:00,YES
11,1746,871,4,200,2017-02-19,23:19:00,YES
12,1,764,9,180,2017-01-07,00:53:00,YES
13,1309,807,5,100,2017-02-27,10:53:00,YES
14,188,596,8,320,2017-01-29,00:08:00,YES
15,683,155,7,280,2017-02-13,14:47:00,YES
16,1725,400,1,45,2017-03-15,06:52:00,YES
17,1715,508,8,240,2017-07-17,18:44:00,YES
18,1528,362,7,175,2017-02-09,00:36:00,YES
19,126,12,3,60,2017-01-08,08:36:00,YES
20,1910,934,2,50,2017-05-29,22:11:00,YES
21,1342,607,2,90,2017-04-16,22:58:00,YES
22,1655,376,5,150,2017-02-11,02:06:00,YES
23,1813,279,2,50,2017-04-29,17:15:00,YES
24,8,237,8,160,2017-04-17,15:15:00,YES
25,661,950,4,180,2017-05-17,05:46:00,YES
26,1609,120,4,180,2017-05-21,20:55:00,YES
27,703,963,1,40,2017-03-30,08:09:00,YES
28,189,453,6,210,2017-01-28,11:55:00,YES
29,638,113,9,225,2017-06-14,11:55:00,YES
30,456,486,7,245,2017-03-14,21:57:00,YES
31,1741,400,9,315,2017-06-12,13:11:00,YES
32,1011,461,10,450,2017-04-01,14:36:00,YES
33,691,161,10,300,2017-05-17,01:38:00,YES
34,695,727,6,210,2017-03-21,17:21:00,YES
35,483,227,2,40,2017-07-02,00:40:00,YES
36,256,98,10,300,2017-02-11,03:22:00,YES
37,1727,677,8,320,2017-06-19,05:30:00,YES
38,1369,819,5,225,2017-01-14,03:00:00,YES
39,1255,586,9,225,2017-01-29,08:39:00,YES
40,480,787,6,150,2017-01-12,07:36:00,YES
